hri_value,max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless
6,22.8,-10.5,0.143754067,0.066437857,65780.75,50440323,70087,26140
6,25,-4.3,0.143754067,0.066437857,65780.75,50440323,70087,26140
4,19.4,-15.5,0.143754067,0.066437857,65780.75,50440323,70087,26140
5,23.9,-7.7,0.13487497,0.059930489,68955,50728272,68248,25395
6,28.3,0.6,0.13487497,0.059930489,68955,50728272,68248,25395
8,27.2,-4.9,0.13487497,0.059930489,68955,50728272,68248,25395
8,27.8,-7.7,0.13487497,0.059930489,68955,50728272,68248,25395
6,21.1,-15.5,0.13487497,0.059930489,68955,50728272,68248,25395
6,22.8,-14.3,0.13487497,0.059930489,68955,50728272,68248,25395
8,23.9,-3.2,0.13487497,0.059930489,68955,50728272,68248,25395
6,25.6,3.3,0.13487497,0.059930489,68955,50728272,68248,25395
5,25.6,-7.7,0.13487497,0.059930489,68955,50728272,68248,25395
10,28.3,-6,0.13487497,0.059930489,68955,50728272,68248,25395
6,25,-1.6,0.13487497,0.059930489,68955,50728272,68248,25395
8,27.2,0.6,0.13487497,0.059930489,68955,50728272,68248,25395
8,26.7,-2.7,0.13487497,0.059930489,68955,50728272,68248,25395
10,25.6,-10.5,0.13487497,0.059930489,68955,50728272,68248,25395
15,27.2,-4.3,0.13487497,0.059930489,68955,50728272,68248,25395
31,32.2,-2.7,0.13487497,0.059930489,68955,50728272,68248,25395
26,31.1,4.4,0.13487497,0.059930489,68955,50728272,68248,25395
19,31.1,1.1,0.13487497,0.059930489,68955,50728272,68248,25395
32,33.3,5.6,0.13487497,0.059930489,68955,50728272,68248,25395
160,38.3,10,0.13487497,0.059930489,68955,50728272,68248,25395
110,37.8,11.7,0.13487497,0.059930489,68955,50728272,68248,25395
133,38.3,16.1,0.13487497,0.059930489,68955,50728272,68248,25395
214,37.8,15,0.13487497,0.059930489,68955,50728272,68248,25395
208,36.7,12.8,0.13487497,0.059930489,68955,50728272,68248,25395
119,35.6,13.3,0.13487497,0.059930489,68955,50728272,68248,25395
265,37.8,15,0.13487497,0.059930489,68955,50728272,68248,25395
358,38.3,17.2,0.13487497,0.059930489,68955,50728272,68248,25395
234,37.8,16.7,0.13487497,0.059930489,68955,50728272,68248,25395
195,35,17.2,0.13487497,0.059930489,68955,50728272,68248,25395
185,36.1,13.9,0.13487497,0.059930489,68955,50728272,68248,25395
389,37.2,21.1,0.13487497,0.059930489,68955,50728272,68248,25395
353,37.2,19.4,0.13487497,0.059930489,68955,50728272,68248,25395
346,38.3,18.3,0.13487497,0.059930489,68955,50728272,68248,25395
288,36.1,16.1,0.13487497,0.059930489,68955,50728272,68248,25395
201,36.1,16.1,0.13487497,0.059930489,68955,50728272,68248,25395
20,30,-2.7,0.13487497,0.059930489,68955,50728272,68248,25395
88,34.4,8.9,0.13487497,0.059930489,68955,50728272,68248,25395
155,37.2,10.6,0.13487497,0.059930489,68955,50728272,68248,25395
315,38.9,13.3,0.13487497,0.059930489,68955,50728272,68248,25395
209,37.8,11.1,0.13487497,0.059930489,68955,50728272,68248,25395
84,33.9,7.2,0.13487497,0.059930489,68955,50728272,68248,25395
68,32.2,8.3,0.13487497,0.059930489,68955,50728272,68248,25395
72,31.1,6.7,0.13487497,0.059930489,68955,50728272,68248,25395
36,31.7,3.3,0.13487497,0.059930489,68955,50728272,68248,25395
26,28.3,2.2,0.13487497,0.059930489,68955,50728272,68248,25395
39,30.6,10,0.13487497,0.059930489,68955,50728272,68248,25395
15,27.8,-4.3,0.13487497,0.059930489,68955,50728272,68248,25395
16,26.7,-1.6,0.13487497,0.059930489,68955,50728272,68248,25395
9,24.4,-0.5,0.13487497,0.059930489,68955,50728272,68248,25395
18,30,-0.5,0.13487497,0.059930489,68955,50728272,68248,25395
13,26.7,-10.5,0.13487497,0.059930489,68955,50728272,68248,25395
16,25.6,-2.1,0.13487497,0.059930489,68955,50728272,68248,25395
7,21.7,-9.3,0.127143061,0.061154306,71354.25,50970442,67013,26627
11,27.8,-4.3,0.127143061,0.061154306,71354.25,50970442,67013,26627
7,26.1,-1.6,0.127143061,0.061154306,71354.25,50970442,67013,26627
10,26.7,-0.5,0.127143061,0.061154306,71354.25,50970442,67013,26627
43,32.2,1.1,0.127143061,0.061154306,71354.25,50970442,67013,26627
28,31.1,1.7,0.127143061,0.061154306,71354.25,50970442,67013,26627
14,29.4,1.7,0.127143061,0.061154306,71354.25,50970442,67013,26627
10,25.6,-1.6,0.127143061,0.061154306,71354.25,50970442,67013,26627
8,23.9,-3.8,0.127143061,0.061154306,71354.25,50970442,67013,26627
12,25,-7.1,0.127143061,0.061154306,71354.25,50970442,67013,26627
12,30,-8.2,0.127143061,0.061154306,71354.25,50970442,67013,26627
7,26.7,-3.2,0.127143061,0.061154306,71354.25,50970442,67013,26627
7,17.8,-1.6,0.127143061,0.061154306,71354.25,50970442,67013,26627
43,32.2,3.3,0.127143061,0.061154306,71354.25,50970442,67013,26627
41,28.9,3.3,0.127143061,0.061154306,71354.25,50970442,67013,26627
50,30.6,1.7,0.127143061,0.061154306,71354.25,50970442,67013,26627
37,29.4,-1,0.127143061,0.061154306,71354.25,50970442,67013,26627
48,32.2,1.1,0.127143061,0.061154306,71354.25,50970442,67013,26627
213,35,16.1,0.127143061,0.061154306,71354.25,50970442,67013,26627
114,34.4,13.3,0.127143061,0.061154306,71354.25,50970442,67013,26627
205,35,14.4,0.127143061,0.061154306,71354.25,50970442,67013,26627
157,34.4,10,0.127143061,0.061154306,71354.25,50970442,67013,26627
122,33.3,16.1,0.127143061,0.061154306,71354.25,50970442,67013,26627
87,34.4,10.6,0.127143061,0.061154306,71354.25,50970442,67013,26627
43,31.7,2.2,0.127143061,0.061154306,71354.25,50970442,67013,26627
48,33.3,-1,0.127143061,0.061154306,71354.25,50970442,67013,26627
47,32.2,1.1,0.127143061,0.061154306,71354.25,50970442,67013,26627
54,32.2,6.7,0.127143061,0.061154306,71354.25,50970442,67013,26627
42,31.7,4.4,0.127143061,0.061154306,71354.25,50970442,67013,26627
49,32.2,8.9,0.127143061,0.061154306,71354.25,50970442,67013,26627
