target_hri_rate,feat_mean_tmax_c_week,feat_max_tmax_c_week,feat_temp_range_c_week,feat_heat_intensity,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,record_year,region_label
435.0,34.778571428571425,36.7,6.175000000000004,1.921428571428578,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
237.0,32.16428571428572,35.575,6.225000000000001,3.4107142857142847,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
431.0,35.214285714285715,38.425,9.474999999999998,3.210714285714282,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
188.0,33.46071428571428,36.7,6.2500000000000036,3.239285714285721,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
157.0,32.885714285714286,34.925,4.1249999999999964,2.039285714285711,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
72.0,31.185714285714283,32.675,3.224999999999998,1.489285714285714,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
75.0,31.95,33.4,4.974999999999998,1.4499999999999993,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
75.0,28.767857142857142,30.125,2.5500000000000007,1.3571428571428577,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
55.0,26.914285714285715,28.125,3.674999999999997,1.2107142857142854,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
138.0,30.24285714285714,31.075000000000003,1.9500000000000028,0.8321428571428626,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
89.0,28.925,29.95,2.0249999999999986,1.0249999999999986,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
246.0,31.65,32.55,2.875,0.8999999999999986,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
487.0,33.857142857142854,35.475,3.9750000000000014,1.617857142857147,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
510.0,34.32142857142857,35.625,2.5249999999999986,1.3035714285714306,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
485.0,34.13214285714286,36.0,4.225000000000001,1.86785714285714,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
876.0,35.76428571428571,36.425,1.3499999999999943,0.6607142857142847,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
1019.0,36.760714285714286,38.675,3.299999999999997,1.914285714285711,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
1331.0,37.55714285714286,38.8,3.0749999999999957,1.2428571428571402,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
759.0,36.214285714285715,38.15,3.1999999999999957,1.9357142857142833,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
954.0,36.8,38.099999999999994,2.6999999999999957,1.2999999999999972,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
536.0,35.785714285714285,37.8,2.8249999999999957,2.0142857142857125,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
695.0,36.903571428571425,38.725,4.050000000000004,1.8214285714285765,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
413.0,35.98571428571429,37.3,1.9249999999999972,1.3142857142857096,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
361.0,35.28214285714286,38.25,5.125,2.9678571428571416,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
251.0,34.58571428571428,35.425,2.4749999999999943,0.8392857142857153,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
402.0,37.65714285714286,39.825,4.0,2.1678571428571445,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
212.0,35.14642857142857,38.25,5.549999999999997,3.103571428571428,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
68.0,30.171428571428574,32.85,3.900000000000002,2.678571428571427,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
210.0,33.82142857142857,35.6,4.075000000000003,1.778571428571432,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
270.0,35.575,36.325,1.7000000000000028,0.75,0.1204555944669258,0.0637293764966134,89433.75,51296062,2024,Region 9
